Empresa,Producto,Cantidad,Costo_unitario,Costo_total
LogiTrans,Componentes eléctricos,107,135.28,14474.96
LogiTrans,Lubricantes,440,93.71,41232.4
Distribuciones Norte,Lubricantes,353,139.06,49088.18
Mecánica Galicia,Material de embalaje,275,22.39,6157.25
Mecánica Galicia,Lubricantes,111,37.44,4155.84
Mecánica Galicia,Herramientas,76,16.33,1241.08
LogiTrans,Lubricantes,193,55.55,10721.15
Industrias Rápidas,Herramientas,25,64.41,1610.25
LogiTrans,Material de embalaje,107,47.99,5134.93
Industrias Rápidas,Componentes eléctricos,126,126.02,15878.52
TecnoEnvases,Componentes eléctricos,471,59.95,28236.45
LogiTrans,Lubricantes,219,49.33,10803.27
LogiTrans,Herramientas,335,85.98,28803.3
LogiTrans,Piezas metálicas,463,29.73,13764.99
Mecánica Galicia,Piezas metálicas,92,122.31,11252.52
Mecánica Galicia,Piezas metálicas,377,20.44,7705.88
Industrias Rápidas,Componentes eléctricos,104,148.16,15408.64
Industrias Rápidas,Componentes eléctricos,364,118.11,42992.04
LogiTrans,Herramientas,156,37.82,5899.92
Industrias Rápidas,Lubricantes,135,10.77,1453.95
Mecánica Galicia,Piezas metálicas,154,124.16,19120.64
Industrias Rápidas,Herramientas,313,108.96,34104.48
TecnoEnvases,Herramientas,262,112.06,29359.72
Mecánica Galicia,Lubricantes,348,117.98,41057.04
TecnoEnvases,Herramientas,496,20.37,10103.52
Industrias Rápidas,Lubricantes,418,60.19,25159.42
Distribuciones Norte,Material de embalaje,298,26.22,7813.56
LogiTrans,Lubricantes,390,130.83,51023.7
Mecánica Galicia,Piezas metálicas,196,97.26,19062.96
TecnoEnvases,Piezas metálicas,448,56.33,25235.84
Distribuciones Norte,Lubricantes,281,18.9,5310.9
Distribuciones Norte,Material de embalaje,165,53.54,8834.1
Mecánica Galicia,Material de embalaje,464,55.53,25765.92
Mecánica Galicia,Piezas metálicas,318,112.14,35660.52
Distribuciones Norte,Material de embalaje,26,99.26,2580.76
LogiTrans,Herramientas,257,134.21,34491.97
LogiTrans,Componentes eléctricos,240,76.11,18266.4
TecnoEnvases,Herramientas,349,26.74,9332.26
LogiTrans,Piezas metálicas,53,109.85,5822.05
Distribuciones Norte,Material de embalaje,479,116.51,55808.29
Distribuciones Norte,Lubricantes,63,88.58,5580.54
Industrias Rápidas,Componentes eléctricos,174,117.94,20521.56
Distribuciones Norte,Lubricantes,480,79.13,37982.4
LogiTrans,Piezas metálicas,192,83.18,15970.56
TecnoEnvases,Material de embalaje,468,69.86,32694.48
Industrias Rápidas,Lubricantes,275,13.56,3729.0
LogiTrans,Lubricantes,194,25.1,4869.4
TecnoEnvases,Componentes eléctricos,450,14.4,6480.0
LogiTrans,Componentes eléctricos,179,99.1,17738.9
Industrias Rápidas,Material de embalaje,450,54.01,24304.5
Distribuciones Norte,Componentes eléctricos,55,81.2,4466.0
Industrias Rápidas,Lubricantes,368,137.06,50438.08
Distribuciones Norte,Lubricantes,59,44.9,2649.1
Industrias Rápidas,Piezas metálicas,248,67.45,16727.6
Mecánica Galicia,Lubricantes,324,115.78,37512.72
LogiTrans,Material de embalaje,135,42.03,5674.05
LogiTrans,Herramientas,489,20.78,10161.42
Mecánica Galicia,Piezas metálicas,311,50.57,15727.27
Distribuciones Norte,Piezas metálicas,139,32.57,4527.23
LogiTrans,Material de embalaje,25,140.16,3504.0
Mecánica Galicia,Material de embalaje,333,123.14,41005.62
LogiTrans,Componentes eléctricos,171,98.68,16874.28
TecnoEnvases,Piezas metálicas,278,132.0,36696.0
Distribuciones Norte,Componentes eléctricos,392,122.51,48023.92
TecnoEnvases,Lubricantes,93,36.12,3359.16
Distribuciones Norte,Piezas metálicas,320,134.96,43187.2
Mecánica Galicia,Piezas metálicas,18,85.51,1539.18
Distribuciones Norte,Herramientas,246,123.04,30267.84
Distribuciones Norte,Piezas metálicas,269,135.45,36436.05
Mecánica Galicia,Lubricantes,350,54.52,19082.0
Distribuciones Norte,Componentes eléctricos,57,25.41,1448.37
LogiTrans,Componentes eléctricos,390,41.91,16344.9
Industrias Rápidas,Herramientas,344,69.8,24011.2
Mecánica Galicia,Lubricantes,96,124.52,11953.92
Industrias Rápidas,Componentes eléctricos,371,130.5,48415.5
Mecánica Galicia,Material de embalaje,448,10.97,4914.56
Mecánica Galicia,Lubricantes,459,81.5,37408.5
TecnoEnvases,Lubricantes,432,68.44,29566.08
TecnoEnvases,Herramientas,268,41.1,11014.8
