,Fecha,Maquina,Turno,Produccion,Horas_parada,Averia
0,2025-04-14,Torno 1,Mañana,152.0,1.6,Sí
1,2025-04-14,Torno 1,Tarde,121.0,1.2,Sí
2,2025-04-14,Torno 1,Noche,124.0,0.9,No
3,2025-04-14,Torno 2,Mañana,153.0,1.4,Sí
4,2025-04-14,Torno 2,Tarde,51.0,1.4,No
5,2025-04-14,Torno 2,Noche,179.0,0.4,Sí
6,2025-04-14,Torno 3,Mañana,107.0,1.0,No
7,2025-04-14,Torno 3,Tarde,98.0,1.0,No
8,2025-04-14,Torno 3,Noche,64.0,0.9,No
9,2025-04-14,Torno 4,Mañana,100.0,0.8,No
10,2025-04-14,Torno 4,Tarde,180.0,1.7,No
11,2025-04-14,Torno 4,Noche,122.0,0.1,No
12,2025-04-14,Torno 5,Mañana,109.0,1.1,No
13,2025-04-14,Torno 5,Tarde,139.0,0.2,No
14,2025-04-14,Torno 5,Noche,160.0,1.4,No
15,2025-04-15,Torno 1,Mañana,57.0,0.1,No
16,2025-04-15,Torno 1,Tarde,99.0,1.3,No
17,2025-04-15,Torno 1,Noche,183.0,0.4,No
18,2025-04-15,Torno 2,Mañana,195.0,1.6,No
19,2025-04-15,Torno 2,Tarde,63.0,1.5,No
20,2025-04-15,Torno 2,Noche,89.0,1.7,No
21,2025-04-15,Torno 3,Mañana,160.0,1.7,No
22,2025-04-15,Torno 3,Tarde,173.0,0.6,No
23,2025-04-15,Torno 3,Noche,94.0,0.1,No
24,2025-04-15,Torno 4,Mañana,137.0,0.8,No
25,2025-04-15,Torno 4,Tarde,112.0,1.6,No
26,2025-04-15,Torno 4,Noche,82.0,1.2,No
27,2025-04-15,Torno 5,Mañana,90.0,1.8,No
28,2025-04-15,Torno 5,Tarde,61.0,0.7,Sí
29,2025-04-15,Torno 5,Noche,111.0,0.7,No
30,2025-04-16,Torno 1,Mañana,,0.5,No
31,2025-04-16,Torno 1,Tarde,150.0,1.9,No
32,2025-04-16,Torno 1,Noche,54.0,1.1,No
33,2025-04-16,Torno 2,Mañana,152.0,0.1,No
34,2025-04-16,Torno 2,Tarde,139.0,0.1,Sí
35,2025-04-16,Torno 2,Noche,112.0,1.8,No
36,2025-04-16,Torno 3,Mañana,145.0,1.4,Sí
37,2025-04-16,Torno 3,Tarde,192.0,1.5,No
38,2025-04-16,Torno 3,Noche,120.0,0.6,Sí
39,2025-04-16,Torno 4,Mañana,115.0,1.2,No
40,2025-04-16,Torno 4,Tarde,183.0,0.9,No
41,2025-04-16,Torno 4,Noche,133.0,1.8,No
42,2025-04-16,Torno 5,Mañana,141.0,0.7,No
43,2025-04-16,Torno 5,Tarde,178.0,0.5,No
44,2025-04-16,Torno 5,Noche,165.0,0.7,No
45,2025-04-17,Torno 1,Mañana,,1.0,No
46,2025-04-17,Torno 1,Tarde,108.0,0.6,No
47,2025-04-17,Torno 1,Noche,162.0,0.1,No
48,2025-04-17,Torno 2,Mañana,61.0,0.5,No
49,2025-04-17,Torno 2,Tarde,162.0,0.3,No
50,2025-04-17,Torno 2,Noche,162.0,2.0,No
51,2025-04-17,Torno 3,Mañana,136.0,0.6,No
52,2025-04-17,Torno 3,Tarde,196.0,1.4,No
53,2025-04-17,Torno 3,Noche,,0.2,No
54,2025-04-17,Torno 4,Mañana,194.0,1.5,No
55,2025-04-17,Torno 4,Tarde,165.0,2.0,No
56,2025-04-17,Torno 4,Noche,193.0,1.7,No
57,2025-04-17,Torno 5,Mañana,119.0,1.4,No
58,2025-04-17,Torno 5,Tarde,196.0,1.4,No
59,2025-04-17,Torno 5,Noche,197.0,1.3,Sí
60,2025-04-18,Torno 1,Mañana,177.0,1.0,No
61,2025-04-18,Torno 1,Tarde,60.0,0.7,Sí
62,2025-04-18,Torno 1,Noche,91.0,0.5,No
63,2025-04-18,Torno 2,Mañana,139.0,2.0,No
64,2025-04-18,Torno 2,Tarde,,0.5,Sí
65,2025-04-18,Torno 2,Noche,,1.1,No
66,2025-04-18,Torno 3,Mañana,58.0,0.6,No
67,2025-04-18,Torno 3,Tarde,180.0,1.7,No
68,2025-04-18,Torno 3,Noche,165.0,0.2,Sí
69,2025-04-18,Torno 4,Mañana,153.0,1.2,Sí
70,2025-04-18,Torno 4,Tarde,148.0,1.9,No
71,2025-04-18,Torno 4,Noche,159.0,1.1,No
72,2025-04-18,Torno 5,Mañana,117.0,0.5,No
